epoch,accuracy,loss
0,0.8014705777168274,0.44837895035743713
1,0.9375,0.1882680207490921
2,0.9756944179534912,0.09864649921655655
3,0.9756944179534912,0.09131985902786255
0,0.8194444179534912,0.4245187044143677
1,0.9340277910232544,0.1750999093055725
2,0.9548611044883728,0.11571497470140457
0,0.5616372227668762
1,0.17622841894626617
2,0.12315843999385834
3,0.100061796605587
4,0.08884550631046295
5,0.06495624780654907
6,0.04427890479564667
7,0.06077175587415695
8,0.07075181603431702
0,0.6944444179534912,0.5772631764411926
1,0.8958333134651184,0.26967355608940125
2,0.96875,0.11707976460456848
3,0.9756944179534912,0.09082116186618805
4,0.9722222089767456,0.08682186156511307
5,0.96875,0.0935835987329483
6,0.9895833134651184,0.053967658430337906
7,0.9826388955116272,0.05418488383293152
8,0.9826388955116272,0.06412260234355927
9,0.9895833134651184,0.0439203605055809
10,0.9861111044883728,0.046971652656793594
11,0.9861111044883728,0.03737146779894829
12,0.9930555820465088,0.033518724143505096
13,0.9965277910232544,0.018898453563451767
14,0.9930555820465088,0.03616057336330414
0,0.7881944179534912,0.5955103039741516
1,0.9618055820465088,0.14018088579177856
2,0.9930555820465088,0.03873361647129059
3,0.9861111044883728,0.03380495309829712
4,0.9895833134651184,0.0323169119656086
5,0.9895833134651184,0.01590787246823311
6,0.9791666865348816,0.04816251993179321
7,0.9791666865348816,0.04028722271323204
8,0.9930555820465088,0.01576564460992813
9,0.9895833134651184,0.03142417222261429
10,0.9930555820465088,0.01623765006661415
11,0.9895833134651184,0.03127538040280342
12,0.9756944179534912,0.07330213487148285
13,0.9826388955116272,0.03220250457525253
0,0.8368055820465088,0.32526493072509766
1,0.9652777910232544,0.07975113391876221
2,0.9791666865348816,0.08763587474822998
3,0.9895833134651184,0.030426910147070885
4,0.9722222089767456,0.06687421351671219
5,0.9895833134651184,0.017817959189414978
6,0.9930555820465088,0.038355182856321335
7,1.0,0.012042144313454628
8,0.9895833134651184,0.022450895980000496
9,0.9895833134651184,0.02213693968951702
10,0.9861111044883728,0.03582645207643509
11,0.9861111044883728,0.04543660581111908
12,1.0,0.00893271341919899
0,0.7743055820465088,0.5095312595367432
1,0.9166666865348816,0.209101602435112
2,0.9375,0.1793109029531479
3,0.9583333134651184,0.11850941181182861
4,0.9652777910232544,0.14214986562728882
5,0.9722222089767456,0.08646710216999054
6,0.9444444179534912,0.16274699568748474
7,0.9861111044883728,0.038422178477048874
8,0.9595588445663452,0.09387258440256119
9,0.9722222089767456,0.05407530814409256
10,0.9791666865348816,0.05571120232343674
11,0.9722222089767456,0.0708095133304596
12,0.9930555820465088,0.03361889347434044
13,0.9861111044883728,0.03686094656586647
14,0.9826388955116272,0.042974457144737244
0,0.7118055820465088,0.6274195909500122
1,0.9444444179534912,0.16233845055103302
2,0.9513888955116272,0.1724388301372528
3,0.9861111044883728,0.045214224606752396
4,0.9338235259056091,0.15619394183158875
5,0.9722222089767456,0.09005802869796753
6,0.9791666865348816,0.057511940598487854
7,0.9826388955116272,0.04625488445162773
8,0.9791666865348816,0.06626380234956741
0,0.6666666865348816,0.7549589276313782
1,0.9270833134651184,0.1937147080898285
2,0.9756944179534912,0.07694963365793228
3,0.96875,0.08541274815797806
4,0.9618055820465088,0.10638406872749329
5,0.96875,0.08755691349506378
6,0.9444444179534912,0.18206551671028137
7,0.9861111044883728,0.04085130989551544
8,0.9861111044883728,0.0687660351395607
9,0.9756944179534912,0.07617710530757904
10,0.9791666865348816,0.0599030926823616
11,0.9756944179534912,0.05505799874663353
12,0.9722222089767456,0.07776640355587006
0,0.7222222089767456,0.5380388498306274
1,0.9513888955116272,0.20972871780395508
2,0.96875,0.11423105746507645
3,0.9742646813392639,0.07040787488222122
4,0.9652777910232544,0.0822627991437912
5,0.9861111044883728,0.05757284164428711
6,0.9861111044883728,0.05632771924138069
7,0.9965277910232544,0.0532507598400116
8,0.9826388955116272,0.06347791105508804
9,0.9895833134651184,0.03864801675081253
0,0.6423611044883728,0.654147744178772
1,0.9236111044883728,0.22212600708007812
2,0.9722222089767456,0.11616288125514984
3,0.9826388955116272,0.0759444385766983
4,0.9652777910232544,0.09151189774274826
5,0.9965277910232544,0.03719671070575714
6,0.9826388955116272,0.05915319174528122
7,0.9861111044883728,0.04995156452059746
8,0.9791666865348816,0.04678182303905487
9,0.9826388955116272,0.04609981179237366
0,0.7152777910232544,0.5449455976486206
1,0.96875,0.1787458062171936
2,0.96875,0.0968702957034111
3,0.9826388955116272,0.07070697098970413
4,0.9861111044883728,0.07070068269968033
5,0.9861111044883728,0.06276495009660721
6,0.9965277910232544,0.04448559507727623
7,0.9895833134651184,0.03305796906352043
8,0.9742646813392639,0.0725012943148613
9,0.9756944179534912,0.05594068765640259
0,0.6944444179534912,0.5763814449310303
1,0.9027777910232544,0.2578389048576355
2,0.9444444179534912,0.16936546564102173
3,0.9722222089767456,0.08687350898981094
4,0.9826388955116272,0.07508036494255066
5,0.9652777910232544,0.09167245030403137
6,0.9756944179534912,0.07895074784755707
7,0.9930555820465088,0.03837381303310394
8,0.9930555820465088,0.0388314463198185
9,0.9756944179534912,0.08256121724843979
10,0.9756944179534912,0.04755305498838425
11,0.9930555820465088,0.03191361948847771
12,0.9965277910232544,0.04183264449238777
13,0.9826388955116272,0.03849247097969055
14,0.9895833134651184,0.034382909536361694
0,0.6666666865348816,0.6446911692619324
1,0.9201388955116272,0.21130509674549103
2,0.966911792755127,0.12547437846660614
3,0.9895833134651184,0.0720110833644867
4,0.96875,0.06981627643108368
5,1.0,0.04380269721150398
6,0.9861111044883728,0.047953709959983826
7,0.9826388955116272,0.03735446557402611
8,0.9930555820465088,0.03290969133377075
9,0.9826388955116272,0.055721282958984375
10,0.9742646813392639,0.05215379595756531
11,0.9895833134651184,0.03646913543343544
12,0.9895833134651184,0.03714526444673538
13,0.9895833134651184,0.03203438222408295
14,0.9965277910232544,0.029591739177703857
0,0.8541666865348816,0.32089102268218994
1,0.9618055820465088,0.10832468420267105
2,0.9826388955116272,0.05958082899451256
3,0.9791666865348816,0.07132336497306824
4,0.9965277910232544,0.024638734757900238
5,0.9930555820465088,0.025093907490372658
6,0.9861111044883728,0.03544889762997627
7,0.9930555820465088,0.03496339172124863
8,0.9930555820465088,0.018916098400950432
9,0.9895833134651184,0.02104266546666622
10,0.9861111044883728,0.028669407591223717
11,0.9930555820465088,0.023334752768278122
12,0.9861111044883728,0.026089996099472046
13,0.9965277910232544,0.016285905614495277
14,0.9895833134651184,0.032493770122528076
0,0.8576388955116272,0.4471760392189026
1,0.9895833134651184,0.17415612936019897
2,0.9756944179534912,0.11302998661994934
3,0.9895833134651184,0.07369853556156158
